Model,First flight,Seats,Fuel Burn,Fuel efficiency per seat
Airbus A319,1995,124,2.93 kg/km (10.4 lb/mi),2.95 L/100 km (80 mpg‑US)[79]
Airbus A319neo,2015,136,2.4 kg/km (8.6 lb/mi),1.93 L/100 km (122 mpg‑US)[44]
Airbus A320,1987,150,3.13 kg/km (11.1 lb/mi),2.61 L/100 km (90 mpg‑US)[79]
Airbus A321-200,1996,180,3.61 kg/km (12.8 lb/mi),2.50 L/100 km (94 mpg‑US)[79]
Airbus A330-200,1997,293,5.6 kg/km (19.8 lb/mi),2.37 L/100 km (99 mpg‑US)[79]
Antonov An-148 (1190 nmi),2004,89,2.75 kg/km (9.8 lb/mi),3.86 L/100 km (60.9 mpg‑US)[54]
Antonov An-158 (1190 nmi),2010,99,2.83 kg/km (10.0 lb/mi),3.57 L/100 km (65.9 mpg‑US)[54]
Boeing 737-600,1998,110,2.77 kg/km (9.8 lb/mi),3.15 L/100 km (75 mpg‑US)[69]
Boeing 737-700,1997,126,2.82 kg/km (10.0 lb/mi),2.79 L/100 km (84 mpg‑US)[69]
Boeing 737-700,1997,128,2.8 kg/km (9.9 lb/mi),2.71 L/100 km (87 mpg‑US)[79]
Boeing 737 MAX-7,2017,140,2.51 kg/km (8.91 lb/mi),1.94 L/100 km (121 mpg‑US)[44]
Boeing 737-800,1997,162,3.17 kg/km (11.2 lb/mi),2.44 L/100 km (96 mpg‑US)[69]
Boeing 737-800,1997,160,3.45 kg/km (12.23 lb/mi),2.68 L/100 km (88 mpg‑US)[79]
Boeing 737-800W,1997,162,3.18 kg/km (11.3 lb/mi),2.45 L/100 km (96 mpg‑US)[80]
Boeing 737 MAX-8,2017,162,2.71 kg/km (9.6 lb/mi),2.04 L/100 km (115 mpg‑US)[80]
Boeing 737-900ER,2006,180,3.42 kg/km (12.1 lb/mi),2.38 L/100 km (99 mpg‑US)[69]
Boeing 737-900ERW,2006,180,3.42 kg/km (12.1 lb/mi),2.37 L/100 km (99 mpg‑US)[80]
Boeing 737 MAX-9,2017,180,2.91 kg/km (10.3 lb/mi),2.02 L/100 km (116 mpg‑US)[80]
Boeing 757-200,1982,190,4.60 kg/km (16.33 lb/mi),3.02 L/100 km (78 mpg‑US)[79]
Boeing 757-200,1982,200,4.16 kg/km (14.76 lb/mi),2.59 L/100 km (90.8 mpg‑US)[70]
Boeing 757-300,1998,243,4.68 kg/km (16.62 lb/mi),2.40 L/100 km (98 mpg‑US)[70]
Airbus A220-100,2013,125,2.28 kg/km (8.1 lb/mi),2.28 L/100 km (103 mpg‑US)[72]
Airbus A220-300,2015,160,2.56 kg/km (9.08 lb/mi),2.00 L/100 km (118 mpg‑US)[73]
Airbus A220-300,2015,135,2.30 kg/km (8.17 lb/mi),1.85 L/100 km (127 mpg‑US)[44]
Quest Kodiak,2004,9,0.71 kg/km (2.52 lb/mi),6.28 L/100 km (37.5 mpg‑US)[81]
